Organism	Is Reference Strain	Species	Species NCBI taxon ID	Strain	Strain NCBI taxon ID	Chromosomes	Supercontigs	Contigs	Genome Source	Genome Version/Assembly ID	Structural Annotation Source	Structural Annotation Version	EC#	Genes	GO terms	Non Protein coding genes	Orthologs	Protein coding genes	Pseudogenes
Aspergillus wentii DTO 134E9	yes	Aspergillus wentii	5066	DTO 134E9	1073089	0	27	0	GenBank	GCA_001890725.1	GenBank	Dec 08, 2016	1495	12659	8535	224	12435	12435	0
Penicilliopsis zonata CBS 506.65	yes	Penicilliopsis zonata	41063	CBS 506.65	1073090	0	246	0	GenBank	GCA_001890105.1	GenBank	Dec 08, 2016	1274	10027	6960	158	9869	9869	3
Toxoplasma gondii ARI	no	Toxoplasma gondii	5811	ARI	1074872	0	2723	0	GenBank	GCA_000250965.2	GenBank	Mar 14, 2016	1607	10148	5773	190	9958	9958	0
Toxoplasma gondii COUG	no	Toxoplasma gondii	5811	COUG	1074873	0	105	4075	GenBank	GCA_000338675.2	GenBank	Nov 07, 2017	1612	10042	5829	173	9869	9869	0
Entamoeba nuttalli P19	yes	Entamoeba nuttalli	412467	P19	1076696	0	5233	0	GenBank	GCF_000257125.1	GenBank	Mar 18, 2015	490	6193	3865	6	6187	6187	0
Pyronema omphalodes CBS 100304	yes	Pyronema omphalodes	337075	CBS 100304	1076935	0	260	0	INSDC	GCA_024516155.1	GenBank	Aug 03, 2022	N/A	11633	5013	694	10939	10939	0
Fusarium odoratissimum NRRL 54006	no	Fusarium odoratissimum	2502994	NRRL 54006	1089451	0	418	0	GenBank	GCA_000260195.2	GenBank	Mar 23, 2015	1677	16975	10224	341	16634	16634	7
Fusarium oxysporum f. sp. melonis 26406	no	Fusarium oxysporum	5507	f. sp. melonis 26406	1089452	0	1146	0	GenBank	GCA_000260495.2	GenBank	Dec 24, 2017	1823	20033	11249	372	19661	19661	0
Phytophthora sojae strain P6497	yes	Phytophthora sojae	67593	strain P6497	1094619	0	82	0	GenBank	GCA_000149755.2	GenBank	Mar 14, 2015	1551	28142	9258	1653	26489	26489	3
Taphrina deformans PYCC 5710	yes	Taphrina deformans	5011	PYCC 5710	1097556	0	394	0	INSDC	GCA_000312925.2	GenBank	May 01, 2013	590	4680	3482	17	4663	4663	7
Claviceps purpurea 20.1	yes	Claviceps purpurea	5111	20.1	1111077	0	191	0	INSDC	GCA_000347355.1	GenBank	2013-04-15	916	8979	5729	156	8823	8823	45
Plasmodium cynomolgi strain B	no	Plasmodium cynomolgi	5827	strain B	1120755	14	1649	0	GenBank	GCA_000321355.1	GenBank	Sep 19, 2012	449	5776	3274	60	5716	5716	0
Macrophomina phaseolina MS6	yes	Macrophomina phaseolina	35725	MS6	1126212	0	1506	0	INSDC	GCA_000302655.1	GenBank	Oct 03, 2012	1076	14712	8620	906	13806	13806	453
Toxoplasma gondii GAB2-2007-GAL-DOM2	no	Toxoplasma gondii	5811	GAB2-2007-GAL-DOM2	1130820	0	2481	0	GenBank	GCA_000325525.2	GenBank	Aug 13, 2014	1503	9296	5433	160	9136	9136	0
Toxoplasma gondii TgCatPRC2	no	Toxoplasma gondii	5811	TgCatPRC2	1130821	0	3060	0	GenBank	GCA_000256725.2	GenBank	Mar 23, 2016	527	10300	5945	179	10121	10121	0
Babesia microti strain RI	yes	Babesia microti	5868	strain RI	1133968	4	0	0	GenBank	GCA_000691945.2	GenBank	Jul 12, 2017	721	3685	2365	84	3601	3601	0
Pleurotus ostreatus PC15	yes	Pleurotus ostreatus	5322	PC15	1137138	0	12	0	INSDC	GCA_000697685.1	GenBank	2014-06-05	1007	12460	7248	164	12296	12296	3
Pleurotus ostreatus PC9	no	Pleurotus ostreatus	5322	PC9	1137139	0	16	0	INSDC	GCF_014466165.1	RefSeq	Oct 28, 2020	1036	11897	7314	186	11711	11711	0
Aspergillus luchuensis CBS 106.47	yes	Aspergillus luchuensis	1069201	CBS 106.47	1137211	0	100	0	GenBank	GCA_001890685.1	GenBank	Dec 12, 2016	1505	13784	8661	282	13502	13502	0
Anncaliia algerae Undeen	no	Anncaliia algerae	723287	Undeen	1150868	0	0	8427	GenBank	GCA_000313815.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Saprolegnia diclina VS20	yes	Saprolegnia diclina	112098	VS20	1156394	0	390	0	GenBank	GCA_000281045.1	GenBank	Mar 19, 2015	1364	17448	11145	89	17359	17359	0
Hortaea werneckii EXF-2000	yes	Hortaea werneckii	91943	EXF-2000	1157616	0	628	0	INSDC	GCA_002127715.1	GenBank	May 11, 2017	1776	15649	11803	29	15620	15620	0
Aspergillus glaucus CBS 516.65	yes	Aspergillus glaucus	41413	CBS 516.65	1160497	0	82	0	GenBank	GCA_001890805.1	GenBank	Dec 12, 2016	1341	11429	7365	175	11254	11254	0
Chromera velia CCMP2878	yes	Chromera velia	505693	CCMP2878	1169474	0	5963	0	GenBank	GCA_018398765.1	PainLab	May 19, 2021	909	30596	12693	0	30596	30596	0
Vitrella brassicaformis CCMP3155	yes	Vitrella brassicaformis	1169539	CCMP3155	1169540	0	1064	0	GenBank	GCA_001179505.1	PainLab	May 15, 2014	1433	23412	10988	165	23247	23247	165
Penicillium digitatum Pd1	yes	Penicillium digitatum	36651	Pd1	1170230	0	53	0	INSDC	GCF_000315645.1	RefSeq	Nov 18, 2015	N/A	8946	6188	0	8946	8946	0
Encephalitozoon romaleae SJ-2008	yes	Encephalitozoon romaleae	571949	SJ-2008	1178016	13	0	0	GenBank	GCA_000280035.2	GenBank	Oct 1, 2014	239	1883	1311	52	1831	1831	1
Cladophialophora psammophila CBS 110553	yes	Cladophialophora psammophila	1182553	CBS 110553	1182543	0	123	0	INSDC	GCA_000585535.1	GenBank	Mar 05, 2014	1053	13421	9325	0	13421	13421	0
Cladophialophora yegresii CBS 114405	yes	Cladophialophora yegresii	470704	CBS 114405	1182544	0	8	0	INSDC	GCA_000585515.1	GenBank	Mar 05, 2014	972	10118	6996	0	10118	10118	0
Exophiala aquamarina CBS 119918	yes	Exophiala aquamarina	1033840	CBS 119918	1182545	0	151	0	INSDC	GCA_000709125.1	GenBank	Jun 16, 2014	1073	13118	9403	0	13118	13118	0
Trichosporon asahii var. asahii CBS 2479	yes	Trichosporon asahii	82508	var. asahii CBS 2479	1186058	0	77	0	INSDC	GCA_000293215.1	GenBank	Mar 19, 2015	676	8834	4997	523	8311	8311	0
Toxoplasma gondii CtCo5	no	Toxoplasma gondii	5811	CtCo5	1194599	0	0	6177	GenBank	GCA_000278365.1	GenBank	Jul 17, 2012	N/A	N/A	N/A	0	N/A	0	0
Verticillium dahliae JR2	yes	Verticillium dahliae	27337	JR2	1202531	8	0	0	INSDC	GCA_000400815.2	Ensembl	Aug 29, 2014	N/A	11637	5901	211	11391	11426	0
Leishmania aethiopica L147	yes	Leishmania aethiopica	5667	L147	1206056	36	124	0	GenBank	GCA_000444285.2	GeneDB	Dec 16, 2014	43	8722	4030	189	8533	8533	189
Leishmania tropica L590	yes	Leishmania tropica	5666	L590	1206058	36	124	0	GenBank	GCA_000410715.1	GeneDB	Dec 16, 2014	59	8938	4050	114	8824	8824	0
Trypanosoma cruzi Tula cl2	no	Trypanosoma cruzi	5693	Tula cl2	1206070	0	1780	43931	GenBank	GCA_000365225.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Toxoplasma gondii RH-88	no	Toxoplasma gondii	5811	RH-88	1208370	13	183	0	INSDC	GCA_013099955.1	GenBank	May 15, 2020	459	8654	3600	338	8316	8316	0
Pneumocystis jirovecii SE8	yes	Pneumocystis jirovecii	42068	SE8	1209962	0	328	0	GenBank	GCA_000333975.2	GenBank	Dec 13, 2012	544	3752	2712	217	3535	3535	0
Cyphellophora europaea CBS 101466	yes	Cyphellophora europaea	293227	CBS 101466	1220924	0	19	0	GenBank	GCA_000365145.2	GenBank	Mar 21, 2015	1361	11153	7701	59	11094	11094	0
Mucor circinelloides 1006PhL	yes	Mucor circinelloides	36080	1006PhL	1220926	0	470	0	GenBank	GCA_000401635.1	GenBank	Mar 22, 2015	1423	12410	8319	183	12227	12227	2
Pythium aphanidermatum DAOM BR444	yes	Pythium aphanidermatum	65070	DAOM BR444	1223555	0	1774	0	GenBank	GCA_000387445.2	Ensembl	Mar 02, 2016	749	12363	6409	58	12305	12305	0
Pythium arrhenomanes ATCC 12531	yes	Pythium arrhenomanes	82932	ATCC 12531	1223556	0	10972	0	GenBank	GCA_000387505.2	Ensembl	Mar 02, 2016	759	13857	6943	52	13805	13805	0
Globisporangium irregulare DAOM BR486	yes	Globisporangium irregulare	36331	DAOM BR486	1223557	0	5887	0	GenBank	GCA_000387425.2	Ensembl	Mar 02, 2016	774	13869	6997	65	13804	13804	0
Globisporangium iwayamae DAOM BR242034	yes	Globisporangium iwayamae	115417	DAOM BR242034	1223558	0	11542	0	GenBank	GCA_000387465.2	MSU	2014-08-11	754	14874	6977	0	14874	14874	0
Globisporangium ultimum var. sporangiiferum BR650	no	Globisporangium ultimum	2052682	var. sporangiiferum BR650	1223559	0	5482	0	GenBank	GCA_000387525.2	MSU	2014-08-11	714	14086	6293	0	14086	14086	0
Phytopythium vexans DAOM BR484	yes	Phytopythium vexans	907947	DAOM BR484	1223560	0	3685	0	GenBank	GCA_000387545.2	MSU	2014-08-11	739	11991	6546	34	11957	11957	0
Fusarium proliferatum ET1	yes	Fusarium proliferatum	948311	ET1	1227346	0	0	32	GenBank	GCA_900067095.1	GenBank	Dec 6, 2016	1663	16509	10411	366	16143	16143	0
Fusarium oxysporum f. sp. cubense race 1	no	Fusarium oxysporum	5507	f. sp. cubense race 1	1229664	0	1341	0	GenBank	GCA_000350345.1	GenBank	Mar 21, 2015	1604	15626	10503	188	15438	15438	188
Malassezia sympodialis ATCC 42132	yes	Malassezia sympodialis	76777	ATCC 42132	1230383	8	0	0	INSDC	GCA_900149145.1	GenBank	Jan 10, 2017	629	4618	3601	143	4475	4475	0
Plasmodium inui San Antonio 1	yes	Plasmodium inui	52288	San Antonio 1	1237626	0	323	0	GenBank	GCA_000524495.1	GenBank	Jan 31, 2014	472	5879	3299	47	5832	5832	0
Anncaliia algerae PRA109	yes	Anncaliia algerae	723287	PRA109	1240240	0	7113	0	GenBank	GCA_000385855.2	GenBank	May 6, 2014	326	5330	2206	85	5245	5245	0
Emmonsia crescens UAMH 3008	yes	Emmonsia crescens	73230	UAMH 3008	1247875	0	1734	0	INSDC	GCA_001008285.1	GenBank	May 15, 2015	901	9558	5879	114	9444	9444	0
Acanthamoeba castellanii str. Neff	yes	Acanthamoeba castellanii	5755	str. Neff	1257118	0	384	0	GenBank	GCA_000313135.1	GenBank	Feb 09, 2022	1024	15659	9737	682	14977	14977	682
Ophiostoma piceae UAMH 11346	yes	Ophiostoma piceae	61273	UAMH 11346	1262450	0	45	0	INSDC	GCA_000410735.1	GenBank	Mar 22, 2015	908	8884	6464	0	8884	8884	0
Lichtheimia corymbifera JMRC:FSU:9682	yes	Lichtheimia corymbifera	42458	JMRC:FSU:9682	1263082	0	209	0	INSDC	GCA_000723665.1	GenBank	Sep 24, 2014	1072	12379	8157	97	12282	12282	0
Plasmodium vivax Sal-1	no	Plasmodium vivax	5855	Sal-1	126793	14	0	2733	GenBank	GCA_000002415.2	GeneDB	Jun 18, 2015	867	5665	3719	135	5530	5530	56
Blumeria graminis f. sp. tritici 96224	yes	Blumeria graminis	34373	f. sp. tritici 96224	1268274	12	0	0	INSDC	GCA_900519115.1	RefSeq	2019-08-27	7	8470	3658	123	8347	8347	122
Plasmodium cynomolgi strain M	yes	Plasmodium cynomolgi	5827	strain M	1274352	14	0	40	GenBank	GCA_900180395.1	Sanger	Oct 23, 2017	293	6831	2438	763	6068	6068	597
Metarhizium anisopliae ARSEF 549	yes	Metarhizium anisopliae	5530	ARSEF 549	1276135	0	74	0	INSDC	GCA_000814975.1	GenBank	Jan 06, 2015	968	10891	7972	0	10891	10891	0
Zymoseptoria tritici ST99CH_3D1	no	Zymoseptoria tritici	1047171	ST99CH_3D1	1276537	21	0	0	INSDC	GCA_900184105.1	GenBank	Jun 17, 2020	1	11991	5888	0	11991	11991	0
Cladophialophora carrionii CBS 160.54	no	Cladophialophora carrionii	86049	CBS 160.54	1279043	0	19	0	INSDC	GCA_000365165.2	GenBank	Dec 13, 2013	947	10428	7298	55	10373	10373	8
Fusarium fujikuroi IMI 58289	yes	Fusarium fujikuroi	5127	IMI 58289	1279085	12	0	0	GenBank	GCA_900079805.1	GenBank	Jan 12, 2016	1627	15099	9754	286	14813	14813	0
Stachybotrys chartarum IBT 40293	yes	Stachybotrys chartarum	74722	IBT 40293	1280524	0	2342	0	INSDC	GCA_000732565.1	GenBank	Jul 23, 2014	3	11453	6386	0	11453	11453	0
Anncaliia algerae PRA339	no	Anncaliia algerae	723287	PRA339	1288291	0	431	0	GenBank	GCA_000385875.2	GenBank	May 6, 2014	229	3661	1616	63	3598	3598	0
Cryptococcus depauperatus CBS 7841	yes	Cryptococcus depauperatus	5208	CBS 7841	1295531	0	68	0	INSDC	GCA_001720195.1	GenBank	Sep 06, 2016	693	6687	4510	150	6537	6537	1
Cryptococcus depauperatus CBS 7855	no	Cryptococcus depauperatus	5208	CBS 7855	1295532	0	41	0	INSDC	GCA_001720245.1	GenBank	Sep 06, 2016	711	6521	4472	148	6373	6373	0
Leishmania panamensis MHOM/COL/81/L13	yes	Leishmania panamensis	5679	MHOM/COL/81/L13	1295824	36	820	0	GenBank	GCA_000340495.1	GeneDB	Dec 16, 2014	62	8778	3930	113	8665	8665	0
Leishmania braziliensis MHOM/BR/75/M2903	no	Leishmania braziliensis	5660	MHOM/BR/75/M2903	1295825	35	709	0	GenBank	GCA_000340355.2	GeneDB	Dec 16, 2014	56	9379	3768	110	9261	9269	0
Kwoniella bestiolae CBS 10118	yes	Kwoniella bestiolae	324769	CBS 10118	1296100	0	12	0	GenBank	GCA_000512585.2	GenBank	Jul 20, 2016	943	9270	5698	137	9133	9133	0
Cryptococcus gattii EJB2	no	Cryptococcus gattii VGI	37769	EJB2	1296103	0	282	0	GenBank	GCA_000835745.1	GenBank	Feb 17, 2015	875	6908	4693	145	6763	6763	0
Cryptococcus gattii VGIV IND107	no	Cryptococcus gattii VGIV	1859121	IND107	1296105	0	34	0	GenBank	GCA_000835755.1	GenBank	Feb 17, 2015	854	6843	4586	147	6696	6696	0
Cryptococcus gattii NT-10	no	Cryptococcus gattii VGI	37769	NT10	1296108	0	226	0	GenBank	GCA_000935105.1	GenBank	Mar 5, 2015	564	6987	3920	243	6744	6744	0
Cryptococcus gattii CA1873	no	Cryptococcus gattii VGIII	552467	CA1873	1296111	0	33	0	GenBank	GCA_000855695.1	GenBank	Feb 17, 2015	553	6782	3838	148	6634	6634	0
Kwoniella heveanensis CBS 569	yes	Kwoniella heveanensis	89924	CBS 569	1296119	0	242	0	GenBank	GCA_000507425.3	GenBank	Jul 20, 2016	917	8002	5312	131	7871	7871	0
Kwoniella dejecticola CBS 10117	yes	Kwoniella dejecticola	324770	CBS 10117	1296121	0	13	0	GenBank	GCA_000512565.2	GenBank	Jun 22, 2016	935	8724	5586	122	8602	8602	0
Kwoniella mangroviensis CBS 8507	yes	Kwoniella mangrovensis	463800	CBS8507	1296122	0	62	0	INSDC	GCA_000507465.3	GenBank	2016-07-20	N/A	8555	4548	133	8422	8422	5
Mastigamoeba balamuthi ATCC 30984	yes	Mastigamoeba balamuthi	108607	ATCC 30984	1313166	0	1925	0	INSDC	GCA_902651635.1	TachezyLab	May 05, 2021	41	14696	7574	0	14696	14696	0
Lentinus tigrinus ALCF2SS1-7	yes	Lentinus tigrinus	5365	ALCF2SS1-7	1328758	0	207	0	INSDC	GCA_003813185.1	GenBank	Nov 21, 2018	1094	15670	8553	301	15369	15369	11
Aspergillus niger ATCC 13496	no	Aspergillus niger	5061	ATCC 13496	1353008	0	133	0	GenBank	GCA_003344705.1	GenBank	Jul 31, 2018	1508	12468	8475	274	12194	12194	1
Ordospora colligata OC4	yes	Ordospora colligata	174685	OC4	1354746	0	0	15	GenBank	GCA_000803265.1	GenBank	Dec 17, 2014	204	1879	1265	59	1820	1820	0
Encephalitozoon cuniculi EcunIII-L	no	Encephalitozoon cuniculi	6035	EcunIII-L	1355160	15	0	0	GenBank	GCA_001078035.1	GenBank	Jul 15, 2015	124	1896	1077	62	1834	1834	11
Spraguea lophii 42_110	yes	Spraguea lophii	51541	42_110	1358809	0	0	1392	GenBank	GCA_000430065.1	GenBank	Sep 12, 2013	229	2596	1605	97	2499	2499	44
Plasmodium falciparum HB3	no	Plasmodium falciparum	5833	HB3	137071	14	0	12	GenBank	GCA_900631985.1	Sanger	Apr 20, 2018	1070	5461	2958	275	5186	5186	141
Aspergillus campestris IBT 28561	yes	Aspergillus campestris	41068	IBT 28561	1392248	0	0	62	GenBank	GCA_002847485.1	GenBank	Dec. 27, 2017	1289	9929	6965	173	9756	9756	8
Aspergillus steynii IBT 23096	yes	Aspergillus steynii	306088	IBT 23096	1392250	0	0	37	GenBank	GCA_002849105.1	GenBank	Dec. 30, 2017	1523	13430	9053	235	13195	13195	14
Aspergillus novofumigatus IBT 16806	yes	Aspergillus novofumigatus	340412	IBT 16806	1392255	0	0	62	GenBank	GCA_002847465.1	GenBank	Dec. 27, 2017	1414	11729	7884	197	11532	11532	15
Aspergillus ochraceoroseus IBT 24754	yes	Aspergillus ochraceoroseus	138278	IBT 24754	1392256	0	0	34	GenBank	GCA_002846915.2	GenBank	Apr 16, 2018	1166	9070	6156	153	8917	8917	7
Cryptococcus neoformans var. neoformans XL280	no	Cryptococcus neoformans	5207	var. neoformans XL280	1396488	5	32	0	INSDC	GCA_002216205.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Sporothrix schenckii 1099-18	yes	Sporothrix schenckii	29908	1099-18	1397361	0	0	15	GenBank	GCA_000961545.1	GenBank	Mar 24, 2015	1167	10434	6524	141	10293	10293	0
Sporothrix brasiliensis 5110	yes	Sporothrix brasiliensis	545650	5110	1398154	0	0	12	GenBank	GCA_000820605.1	GenBank	Jan 16, 2015	1135	9231	6244	140	9091	9091	0
Pneumocystis jirovecii RU7	no	Pneumocystis jirovecii	42068	RU7	1408657	0	70	0	INSDC	GCA_001477535.1	GenBank	Dec 22, 2015	N/A	3811	2971	50	3761	3761	0
Pneumocystis carinii B80	yes	Pneumocystis carinii	4754	B80	1408658	0	62	0	INSDC	GCF_001477545.1	RefSeq	Aug 28, 2017	503	3695	3014	49	3646	3646	0
Trypanosoma cruzi Dm28c 2014	no	Trypanosoma cruzi	5693	Dm28c 2014	1416333	0	0	1210	GenBank	GCA_000496795.1	GenBank	Nov 13, 2013	533	11398	5883	50	11348	11348	0
Fonsecaea pedrosoi CBS 271.37	yes	Fonsecaea pedrosoi	40355	CBS 271.37	1442368	0	11	0	GenBank	GCA_000835455.1	GenBank	Feb 23, 2015	1396	12573	8604	46	12527	12527	0
Rhinocladiella mackenziei CBS 650.93	yes	Rhinocladiella mackenziei	86056	CBS 650.93	1442369	0	17	0	INSDC	GCA_000835555.1	GenBank	2015-02-23	981	11418	7823	36	11382	11382	3
Cladophialophora bantiana CBS 173.52	yes	Cladophialophora bantiana	89940	CBS 173.52	1442370	0	60	0	INSDC	GCA_000835475.1	GenBank	Feb 23, 2015	1026	12817	8516	55	12762	12762	4
Fonsecaea multimorphosa CBS 102226	yes	Fonsecaea multimorphosa	979981	CBS 102226	1442371	0	67	0	INSDC	GCA_000836435.1	GenBank	Feb 25, 2015	N/A	12405	8476	36	12369	12369	1
Emergomyces pasteurianus Ep9510	yes	Emergomyces pasteurianus	1955774	Ep9510	1447872	0	1643	0	INSDC	GCA_001883825.1	GenBank	Nov 18, 2016	900	9078	5731	128	8950	8950	12
Aspergillus eucalypticola CBS 122712	yes	Aspergillus eucalypticola	1340029	CBS 122712	1448314	0	131	0	INSDC	GCA_003184535.1	GenBank	Jun 04, 2018	1145	12207	8455	274	11933	11933	4
Aspergillus uvarum CBS 121591	yes	Aspergillus uvarum	446911	CBS 121591	1448315	0	172	0	INSDC	GCA_003184745.1	GenBank	Jun 12, 2018	1124	12347	8366	333	12014	12014	4
Aspergillus ibericus CBS 121593	yes	Aspergillus ibericus	301854	CBS 121593	1448316	0	116	0	INSDC	GCA_003184845.1	GenBank	Jun 22, 2018	1	11989	8144	309	11680	11680	5
Aspergillus sclerotiicarbonarius CBS 121057	yes	Aspergillus sclerotiicarbonarius	487660	CBS 121057	1448318	0	166	0	INSDC	GCA_003184635.1	GenBank	Jun 12, 2018	N/A	12893	8691	324	12569	12569	4
Aspergillus fijiensis CBS 313.89	yes	Aspergillus fijiensis	1191702	CBS 313.89	1448319	0	149	0	INSDC	GCA_003184825.1	GenBank	Jun 22, 2018	N/A	12336	6993	318	12018	12018	3
Aspergillus ellipticus CBS 707.79	yes	Aspergillus ellipticus	41066	CBS 707.79	1448320	0	518	0	INSDC	GCA_003184645.1	GenBank	Jun 12, 2018	1	13179	8471	297	12882	12882	4
Aspergillus heteromorphus CBS 117.55	yes	Aspergillus heteromorphus	51019	CBS 117.55	1448321	0	205	0	INSDC	GCA_003184545.1	GenBank	Jun 04, 2018	1046	11436	7495	306	11130	11130	1
Aspergillus homomorphus CBS 101889	yes	Aspergillus homomorphus	319626	CBS 101889	1450537	0	152	0	INSDC	GCA_003184865.1	GenBank	Jun 22, 2018	1089	11663	7905	302	11361	11361	1
Theileria equi strain WA	yes	Theileria equi	5872	strain WA	1537102	2	8	0	GenBank	GCA_000342415.1	GenBank	Aug 21, 2014	829	5397	2772	68	5329	5329	3
Cryptosporidium sp. chipmunk LX-2015	yes	Cryptosporidium sp.	90962	chipmunk LX-2015	1603071	0	0	853	GenBank	GCA_000831705.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Anopheles gambiae PEST	yes	Anopheles gambiae	7165	PEST	180454	7	145	0	INSDC	GCA_000005575.2	VectorBase	AgamP4.14	541	13845	10726	738	13107	13107	9
Nematocida ironsii ERTm5	yes	Nematocida ironsii	1927920	ERTm5	1805481	0	186	0	INSDC	GCA_001642415.1	GenBank	May 11, 2016	N/A	2709	1678	0	2709	2709	0
Giardia Assemblage A isolate WB	no	Giardia Assemblage A	5741	isolate WB	184922	5	73	133	GenBank	GCA_000002435.1	GenBank	Mar 10, 2010	475	9747	3396	80	5901	9667	2
Trypanosoma brucei brucei TREU927	yes	Trypanosoma brucei	5691	brucei TREU927	185431	16	0	115	GenBank	GCA_000002445.1	GeneDB	Nov 01, 2020	1143	11764	8688	2104	9660	9660	1475
Amphiamblys sp. WSBS2006	yes	unclassified Amphiamblys	2641285	WSBS2006	1866961	0	0	1727	GenBank	GCA_001875675.1	GenBank	Nov 10, 2016	270	3695	1689	53	3642	3642	5
Cryptococcus neoformans var. neoformans JEC21	yes	Cryptococcus neoformans	5207	var. neoformans JEC21	214684	14	0	0	GenBank	GCA_000091045.1	GenBank	Jun 16, 2016	950	7004	5382	372	6632	6632	238
Coccidioides posadasii C735 delta SOWgp	no	Coccidioides posadasii	199306	C735 delta SOWgp	222929	0	55	0	GenBank	GCA_000151335.1	JCVI	Jun 17, 2009	1414	7255	5432	26	7229	7229	0
Chaetothyriales sp. CBS 132003	yes	Chaetothyriales sp.	1715222	CBS 132003	2249419	0	118	0	INSDC	GCA_003709865.1	GenBank	Nov 02, 2018	N/A	5727	4398	0	5727	5727	0
Aspergillus nidulans FGSC A4	yes	Aspergillus nidulans	162425	FGSC A4	227321	8	0	0	GenBank	GCA_000149205.2	AspGD	Oct 04, 2015	1194	10988	10670	276	10712	10712	64
Fusarium graminearum PH-1	yes	Fusarium graminearum	5518	PH-1	229533	4	1	0	GenBank	GCA_900044135.1	HammondKosackLab	Jan 25, 2017	914	14145	8977	2	14143	14143	2
Cryptococcus neoformans var. grubii H99	no	Cryptococcus neoformans	5207	var. grubii H99	235443	14	0	0	GenBank	GCA_000149245.3	GenBank	Apr 01, 2015	575	8338	5119	1363	6975	6975	0
Candida albicans SC5314	yes	Candida albicans	5476	SC5314	237561	8	0	0	GenBank	GCA_000182965.3	CGD	A22-s07-m01-r59	23	6468	6062	256	6212	6212	9
Ustilago maydis 521	yes	Ustilago maydis	5270	521	237631	23	4	0	GenBank	GCA_000328475.2	GenBank	Jun 02, 2017	959	6910	5336	145	6765	6765	0
Coprinopsis cinerea okayama7#130	yes	Coprinopsis cinerea	5346	okayama7#130	240176	0	67	0	GenBank	GCA_000182895.1	Broad	3	1286	13657	7570	301	13356	13356	0
Pyricularia oryzae 70-15	yes	Pyricularia oryzae	318829	70-15	242507	7	46	0	GenBank	GCA_000002495.2	GenBank	Mar 31, 2016	1367	13184	7526	359	12825	12825	131
Rhizopus delemar RA 99-880	yes	Rhizopus delemar	936053	RA 99-880	246409	0	81	0	GenBank	GCA_000149305.1	GenBank	Mar 23, 2015	1561	17703	9237	244	17459	17459	0
Coccidioides immitis RS	yes	Coccidioides immitis	5501	RS	246410	0	6	0	GenBank	GCA_000149335.2	Broad	3	1107	9905	5759	148	9757	9757	0
Microsporidium sp. FI-F-10	yes	Microsporidium sp.	1844323	FI-F-10	2732488	0	22	0	INSDC	GCA_021821965.1	GenBank	Feb 01, 2022	N/A	1877	1022	51	1826	1826	0
Phanerochaete chrysosporium RP-78	yes	Phanerochaete chrysosporium	5306	RP-78	273507	0	232	0	GenBank	GCA_000167175.1	JGI	2.2	849	13602	5990	0	13602	13602	0
